iter	Passed	Remaining
0	47	9482
1	68	6786
2	90	5911
3	111	5462
4	130	5107
5	153	4961
6	174	4824
7	199	4776
8	219	4651
9	240	4565
10	264	4537
11	287	4504
12	308	4438
13	329	4382
14	350	4324
15	373	4299
16	396	4267
17	431	4363
18	454	4328
19	476	4284
20	496	4234
21	517	4186
22	540	4159
23	562	4126
24	585	4098
25	607	4062
26	628	4026
27	653	4013
28	673	3973
29	694	3934
30	716	3907
31	753	3956
32	778	3941
33	799	3902
34	821	3874
35	844	3845
36	866	3817
37	887	3782
38	909	3754
39	929	3719
40	953	3696
41	974	3667
42	997	3641
43	1019	3614
44	1040	3584
45	1064	3564
46	1086	3538
47	1109	3513
48	1130	3483
49	1153	3460
50	1175	3435
51	1197	3408
52	1220	3385
53	1241	3356
54	1262	3328
55	1286	3307
56	1309	3286
57	1332	3262
58	1353	3234
59	1375	3209
60	1397	3184
61	1418	3157
62	1439	3129
63	1459	3102
64	1480	3074
65	1501	3047
66	1521	3020
67	1542	2994
68	1562	2967
69	1583	2940
70	1605	2917
71	1628	2895
72	1651	2873
73	1673	2849
74	1695	2825
75	1717	2802
76	1739	2779
77	1760	2753
78	1782	2730
79	1808	2713
80	1831	2690
81	1852	2665
82	1875	2643
83	1896	2618
84	1913	2589
85	1935	2565
86	1956	2541
87	1975	2514
88	1995	2488
89	2014	2462
90	2033	2435
91	2053	2410
92	2072	2384
93	2091	2358
94	2111	2333
95	2131	2309
96	2150	2283
97	2168	2256
98	2187	2231
99	2206	2206
100	2225	2181
101	2244	2156
102	2266	2134
103	2285	2109
104	2304	2084
105	2328	2064
106	2347	2040
107	2366	2015
108	2385	1991
109	2404	1967
110	2423	1942
111	2442	1919
112	2466	1898
113	2489	1878
114	2512	1856
115	2534	1835
116	2554	1811
117	2573	1788
118	2591	1764
119	2611	1740
120	2630	1717
121	2649	1693
122	2667	1669
123	2685	1646
124	2704	1622
125	2724	1600
126	2746	1578
127	2769	1557
128	2792	1536
129	2814	1515
130	2836	1494
131	2858	1472
132	2878	1449
133	2896	1426
134	2913	1402
135	2940	1383
136	2961	1361
137	2983	1340
138	3004	1318
139	3024	1296
140	3043	1273
141	3065	1252
142	3085	1229
143	3108	1208
144	3129	1187
145	3152	1166
146	3177	1145
147	3202	1125
148	3225	1104
149	3243	1081
150	3269	1060
151	3291	1039
152	3310	1016
153	3328	994
154	3345	971
155	3365	949
156	3388	928
157	3415	907
158	3451	890
159	3471	867
160	3491	845
161	3514	824
162	3537	802
163	3557	781
164	3576	758
165	3595	736
166	3615	714
167	3638	693
168	3659	671
169	3680	649
170	3702	627
171	3725	606
172	3745	584
173	3763	562
174	3782	540
175	3805	518
176	3828	497
177	3850	475
178	3874	454
179	3895	432
180	3918	411
181	3937	389
182	3956	367
183	3978	345
184	3998	324
185	4016	302
186	4036	280
187	4056	258
188	4075	237
189	4094	215
190	4114	193
191	4133	172
192	4154	150
193	4177	129
194	4196	107
195	4221	86
196	4245	64
197	4264	43
198	4284	21
199	4306	0
